"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"791361238471208961","","","2016-10-26 19:29:56 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","The OLRC is an amazing project - they gave an overview of their infrastructure at the recent @APTrust meeting. #pasiggnyc","","","",""
"791348273646858240","","","2016-10-26 18:38:25 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","RT @eiratansey: I am the elected faculty rep to my university's Info Sec &amp; Compliance Committee and it is such a great group to be involved…","791347932893175808","168644732","2016-10-26 18:37:04 +0000","https://twitter.com/archivalgold/status/791346231003975681"
"791325113912324096","","","2016-10-26 17:06:23 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","RT @wilkieii: Browsers are Operating Systems. Package Managers are Operating Systems. VMMs are Operating Systems. Language Runtimes are Ope…","791323978572890112","17047955","2016-10-26 17:01:53 +0000",""
"791309897161998336","","","2016-10-26 16:05:55 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @kevdpow: omg this HORRY STORY https://t.co/z1lZffsAFe #pasignyc","791309662947799040","615435739","2016-10-26 16:05:00 +0000","https://www.youtube.com/watch?v=8dhp_20j0Ys,https://www.youtube.com/watch?v=8dhp_20j0Ys"
"791307086562988036","","","2016-10-26 15:54:45 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","14721, 16363, 16919 #pasignyc","","","",""
"791305465120579584","","","2016-10-26 15:48:19 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @sheilaMorr: 2 PB in Smithsonain DAMS; expect to double every year #pasignyc","791304980707872768","226269144","2016-10-26 15:46:23 +0000",""
"791302915248054272","","","2016-10-26 15:38:11 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","#pasignyc @kvanmalssen ISO 16363 – ""don't be scared""","","","",""
"791300647425601536","","","2016-10-26 15:29:10 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","#pasignyc ISO 16363 – are we doing this right?","","","",""
"791298193883598849","","","2016-10-26 15:19:25 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","#OAIS isn't a systems architecture #pasignyc","","","",""
"791277595946024964","","","2016-10-26 13:57:34 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","Enjoying @betramlyons low level talk about digital files at #pasignyc","","","",""
"791064307337486336","790663220696539136","24086900","2016-10-25 23:50:02 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@shirapeltzman As someone who hasn't created a finding aid before, would it be crazy to include checksums in one for born digital stuff?","","","",""
"791016206870470657","","","2016-10-25 20:38:54 +0000","<a href=""http://www.apple.com/"" rel=""nofollow"">OS X</a>","Surprise Amiga Workbench 3.1 Update, 20 Years Later - AmigaLove https://t.co/WsTUuN1Rhr","","","","https://amigalove.com/viewtopic.php?f=7&t=136"
"790868684428480512","","","2016-10-25 10:52:42 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","https://t.co/vWvJOF8Yot – the Baidu file system","","","","https://github.com/baidu/bfs"
"790709128263929856","","","2016-10-25 00:18:41 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @ryanfb: Amazon Cloud Drive has unlimited photo storage, so I backed up a lot of manuscript images there. Went into the new ""People"" tab…","790676812124782592","14298448","2016-10-24 22:10:16 +0000","https://twitter.com/ryanfb/status/790676812124782592/photo/1"
"790697745581416449","790663220696539136","24086900","2016-10-24 23:33:27 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@shirapeltzman this finding aid was created by @nataliembaur for Twitter data we collected with twarc in 2014 https://t.co/anv7Vmg20P","","","","http://proust.library.miami.edu/findingaids/index.php?p=collections/findingaid&id=1550"
